owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,security_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,config_risk_factors,outbound_risk_factors,outbound_connections,overall_score
runekaagaard,mcp-alchemy,182,0,"MCP Alchemy, developed by Rune Kaagaard, provides a seamless interface between Claude Desktop and SQL databases. Built with Python and SQLAlchemy, it enables AI systems to directly query and analyze data from PostgreSQL, MySQL, MariaDB, SQLite, and other SQLAlchemy-compatible databases. The implementation offers tools for database exploration, query assistance, and data analysis, with features like smart result truncation and integration with claude-local-files for handling large datasets. By abstracting database interactions into an MCP interface, it allows AI assistants to act as database experts, facilitating use cases such as data exploration, SQL query writing, relationship mapping, and comprehensive data analysis across various database engines.",MINIMAL,0.2,2.4,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7918,19,13,5.0,,No,No,,,,0.486
disler,just-prompt,181,0,"Just Prompt is a lightweight MCP server that provides a unified interface to multiple LLM providers including OpenAI, Anthropic, Google Gemini, Groq, DeepSeek, and Ollama. It offers tools for sending prompts to multiple models in parallel, automatic model name correction, and saving responses to files. The implementation supports provider shorthand notation, thinking tokens for Claude models, and includes comprehensive test coverage for all providers. Ideal for developers who need to interact with multiple LLM APIs through a single, consistent interface.",LOW,0.4,2.45,7.6,-2.28,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,11854,22,11,5.0,error_handling,No,Yes,,,,0.544
anton10xr,gibber-mcp,180,0,"This MCP server implementation provides cryptographic tools for secure communication, including key pair generation, shared secret derivation, and message encryption/decryption using SJCL P-256 and AES-CCM. Built with Express.js and TypeScript, it offers real-time communication via server-sent events (SSE). The server is designed for applications requiring end-to-end encryption and secure data exchange between AI models and external tools.",MINIMAL,0.2,2.0,7.0,-2.1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,7706,18,5,5.0,error_handling,No,No,,,,0.43000000000000005
rectalogic,langchain-mcp,180,0,"This LangChain integration, developed by rectalogic, enables AI assistants (powered by LangChain) to leverage Model Context Protocol (MCP) tools within the LangChain framework. It provides an MCPToolkit class that wraps an MCP ClientSession, allowing seamless incorporation of MCP capabilities into LangChain workflows. Built in Python, the implementation abstracts away the complexities of MCP communication, presenting tools as standard LangChain BaseTools. By bridging LangChain's flexible architecture with MCP's extensible toolset, this integration enhances AI models' ability to interact with external services and data sources. It is particularly useful for developers already using LangChain who want to expand their AI applications' capabilities with MCP-compatible tools without significant changes to their existing codebase.",LOW,0.4,2.2,5.0,-1.5,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1180,2,1,3.5,installation; configuration; error_handling,No,Yes,,,,0.44600000000000006
abhiz123,todoist-mcp-server,179,0,"This MCP server, developed by abhiz123, enables natural language task management in Todoist through AI assistants like Claude. It provides tools for creating, retrieving, updating, completing, and deleting tasks using conversational language. The server leverages Todoist's API to translate natural language commands into precise Todoist operations, supporting features like smart task search, flexible filtering, and rich task details. By bridging AI capabilities with Todoist's task management system, this implementation enhances productivity workflows, allowing users to manage their tasks more intuitively. It is particularly useful for scenarios requiring hands-free task management, quick capture of ideas, or AI-assisted organization of complex projects within Todoist.",LOW,0.4,2.3,7.0,-2.1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4106,29,9,3.5,,No,Yes,,,,0.514
chemiguel23,memorymesh,179,0,"MemoryMesh, developed by CheMiguel23, is a local knowledge graph server that enables AI assistants like Claude to store, update, and recall structured information. It features dynamic schema-based tools, relationship modeling, and AI-aware interfaces for maintaining consistent data. Built on the Knowledge Graph Memory Server from MCP, MemoryMesh adds custom schemas, metadata expansion, and event tracking. It integrates seamlessly with Claude Desktop on macOS and Windows, facilitating natural language interactions for world-building and storytelling. While originally designed for text-based RPG scenarios, MemoryMesh is adaptable for social networks, organizational planning, or other structured data use cases requiring persistent information management and retrieval in AI-assisted creative and analytical tasks.",MINIMAL,0.2,1.9,7.6,-2.28,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,16293,33,11,3.5,,No,No,,,,0.44
dainfernalcoder,perplexity-mcp,178,0,"This MCP server, developed by DaInfernalCoder, leverages the Perplexity Sonar Pro API to provide AI-powered research assistance within the Cline development environment. Built with TypeScript and utilizing the Model Context Protocol SDK, it offers tools for general search queries, documentation retrieval, API discovery, and deprecated code analysis. The implementation focuses on enhancing developer productivity by integrating up-to-date information and code insights directly into the workflow. It's particularly useful for developers seeking real-time assistance with documentation, API integration, and code modernization, enabling use cases such as efficient library adoption, API evaluation, and codebase maintenance without leaving their development environment.",LOW,0.4,2.2,6.7,-2.01,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3497,7,5,5.0,error_handling,No,Yes,,,,0.49700000000000005
inditextech,mcp-teams-server,177,0,"MCP Teams Server provides integration with Microsoft Teams, enabling AI assistants to interact with Teams channels through a standardized protocol. Developed by InditexTech, this Python implementation allows reading messages, creating threads, replying to messages, and mentioning team members. The server connects to Teams using Azure bot credentials and exposes functionality through a Docker container or local installation. It's particularly valuable for collaborative workflows where AI assistants need to monitor team communications, post updates to channels, or participate in threaded discussions without requiring users to switch contexts.",MINIMAL,0.2,2.3,7.2,-2.16,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4832,15,8,3.5,error_handling,No,No,,,,0.46
makafeli,n8n-workflow-builder,177,0,"This n8n Workflow Builder MCP server, developed by an unnamed author, provides a programmatic interface for creating and managing n8n workflows. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers tools for defining nodes, connections, and workflow specifications. The implementation focuses on simplifying the creation of complex automation workflows, making it accessible for AI assistants or applications needing to generate n8n configurations. It's particularly useful for tasks like automated workflow generation, template creation, or integrating n8n capabilities into AI-driven systems, enabling programmatic workflow management without requiring deep knowledge of n8n's internal structures.",MINIMAL,0.2,2.15,7.6,-2.28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4137,18,7,5.0,,Yes,Yes,,,,0.45999999999999996
kimtaeyoon83,mcp-server-youtube-transcript,175,0,"This YouTube transcript extraction MCP server, developed by kimtaeyoon83, provides a streamlined interface for retrieving captions and subtitles from YouTube videos. It supports multiple video URL formats and offers language-specific transcript retrieval, making it versatile for various content analysis tasks. The server features error handling, including validation of input parameters, graceful handling of YouTube API errors, and implementation of timeouts. It's particularly useful for AI-driven content analysis, automated video summarization, and accessibility enhancement projects. Its ability to provide detailed metadata along with transcripts enhances its utility for comprehensive video content analysis.",MINIMAL,0.2,2.1,7.5,-2.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3311,17,11,5.0,,No,No,,,,0.453
automata-labs-team,mcp-server-playwright,173,0,"This Playwright-based MCP implementation, developed by Automata Labs, provides a robust interface between language models and web browsers. It enables AI agents to perform a comprehensive range of browser automation tasks including navigation, clicking, form filling, and JavaScript execution in real browser environments. The implementation distinguishes itself by offering screenshot capabilities and console log monitoring, making it ideal for visual AI tasks and debugging. By leveraging Playwright's cross-browser support, it ensures compatibility across major browsers. This tool is particularly powerful for AI-driven web testing, data scraping, and automated web interactions, enabling more sophisticated AI assistants that can directly manipulate web applications. Its integration with Claude Desktop and npm-based installation process make it easily accessible for developers and researchers working on advanced AI projects.",MINIMAL,0.2,1.9,6.4,-1.92,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,5022,19,14,5.0,usage; error_handling,No,No,,,,0.404
danhilse,notion_mcp,173,0,"This MCP server, developed by Dan Hilse, enables AI assistants like Claude to interact with a personal Notion todo list. Built in Python, it provides a minimalist interface for managing tasks with just three properties: task name, scheduling (today/later), and completion status. The implementation integrates with the Notion API to add, view, and update todos in a specific database structure. By connecting AI capabilities with a streamlined task management system, this server enables AI assistants to help organize daily activities and track personal productivity. It is particularly useful for individuals seeking a simple, AI-augmented todo list without complex features, prioritizing ease of use and quick task entry over advanced project management functionality.",LOW,0.4,1.95,7.5,-2.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3844,13,6,5.0,,No,Yes,,,,0.501
shaneholloman,mcp-knowledge-graph,171,0,"This knowledge graph MCP server, developed by Anthropic, enables persistent memory for AI assistants through a local graph database. It provides tools for creating, querying, and manipulating entities and relationships, allowing assistants to build and maintain structured knowledge about users and contexts across conversations. The implementation uses TypeScript and file-based storage, with a customizable memory path for flexibility. It's designed for enhancing AI personalization and context retention in applications like chatbots, virtual assistants, or any scenario requiring long-term information persistence and retrieval in natural language interactions.",MINIMAL,0.2,2.45,6.7,-2.01,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7704,15,7,5.0,error_handling,No,No,,,,0.4570000000000001
dbt-labs,dbt-mcp,166,0,"dbt-MCP server provides a bridge between AI assistants and dbt (data build tool) resources, enabling interaction with data models, metrics, and transformations. Built by dbt Labs, it offers tools for executing dbt CLI commands, discovering metadata about models, and querying the dbt Semantic Layer. The server supports local dbt project operations, metadata retrieval from dbt Cloud, and metric querying capabilities, making it valuable for data analysts and engineers who want to explore, analyze, and manage their data transformations through natural language interfaces without manually navigating dbt's command line or web interface.",MINIMAL,0.0,2.4,6.9,-2.07,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,7024,17,4,5.0,error_handling,Yes,No,,,,0.399
disler,aider-mcp-server,166,0,"Aider MCP Server enables Claude Code to offload AI coding tasks to Aider, reducing costs and enhancing development efficiency. The server exposes two main tools: aider_ai_code for implementing code changes based on natural language prompts, and list_models for discovering available AI models. By delegating specific coding tasks to Aider while maintaining Claude Code for orchestration and review, developers gain more control over their AI coding workflow and can leverage different models for different aspects of development.",MINIMAL,0.2,2.35,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9767,17,16,5.0,,No,No,,,,0.482
sshtunnelvision,mcp-logo-gen,166,0,"This MCP server implementation provides image generation capabilities using the FAL AI service. It offers a tool for generating images from text prompts, leveraging models like 'fal-ai/recraft-v3'. The server is built using FastAPI and includes features such as Server-Sent Events (SSE) for real-time communication. It's designed for use cases requiring AI-powered image creation, such as content generation or visual design assistance.",LOW,0.4,2.1,7.1,-2.13,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2901,10,5,3.5,license,No,Yes,,,,0.501
razorpay,razorpay-mcp-server,165,0,"Razorpay MCP Server provides a bridge between AI assistants and Razorpay's payment processing APIs, enabling seamless integration for payment operations. Built with Go, it exposes tools for managing payments, payment links, and orders through a clean abstraction layer over the Model Context Protocol. The server supports multiple transport mechanisms, features comprehensive logging, and includes a read-only mode for enhanced security. It's containerized for easy deployment in various environments including Claude Desktop and VS Code, making it particularly valuable for developers building AI-powered applications that need to interact with Razorpay's payment ecosystem without writing complex integration code.",MINIMAL,0.2,2.4,7.6,-2.28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5878,16,4,5.0,,No,No,,,,0.48
crystaldba,postgres-mcp,163,0,"PostgreSQL MCP is a database tuning and analysis tool that provides real-time insights into PostgreSQL performance. It offers tools for analyzing query execution plans, identifying slow queries, monitoring database health metrics, and recommending index optimizations. The server implements features like hypothetical index testing, transaction health monitoring, and buffer cache analysis, making it valuable for database administrators and developers who need to optimize query performance, troubleshoot bottlenecks, or maintain healthy PostgreSQL databases. Built with Python 3.12 and packaged as a Docker container, it supports both PostgreSQL 15 and 16 with a focus on read-only safety through restricted access modes.",MINIMAL,0.2,2.4,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,35985,40,15,5.0,,No,No,,,,0.486
hannesrudolph,mcp-ragdocs,163,0,"This MCP server, developed by Hannes Rudolph, enables AI assistants to augment their responses with relevant documentation context through vector-based search and retrieval. Built as a fork of qpd-v's original implementation, it integrates with OpenAI for embeddings generation and Qdrant for vector storage. The server provides tools for adding documentation from URLs, performing semantic searches, extracting links, and managing a processing queue. By connecting AI capabilities with efficient vector search of documentation, this implementation allows AI systems to enhance their knowledge with domain-specific information in real-time. It is particularly useful for building documentation-aware AI assistants, implementing semantic documentation search, and creating context-aware developer tools that require access to up-to-date technical information.",LOW,0.4,1.8,6.2,-1.86,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4336,15,1,5.0,installation,No,Yes,,,,0.44999999999999996
ericzakariasson,uber-eats-mcp-server,162,0,"This MCP server implementation provides a bridge to Uber Eats, enabling AI assistants to search for restaurants, find menu options, and place food orders. Built using Python and the FastMCP framework, it leverages browser automation to interact with the Uber Eats website. The server offers asynchronous operations for searching and ordering, making it suitable for use cases requiring food delivery integration within AI-assisted applications.",MINIMAL,0.2,2.0,5.1,-1.53,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1001,6,4,5.0,usage; configuration; license; project_info,No,No,,,,0.373
simonb97,win-cli-mcp-server,162,0,"This Windows CLI MCP server, developed by SimonB97, enables secure command-line interactions on Windows systems for AI assistants like Claude Desktop. Built with TypeScript, it provides controlled access to PowerShell, CMD, and Git Bash shells, as well as remote systems via SSH. The server implements robust security controls including command blocking, working directory validation, and injection protection. Its configuration system allows fine-tuning of allowed operations, paths, and SSH connections. By extending AI capabilities to local and remote command-line environments, this implementation is particularly useful for tasks involving system administration, development workflows, and secure remote management while maintaining strict control over permitted actions.",MINIMAL,0.2,2.0,6.8,-2.04,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15681,18,7,3.5,installation,No,No,,,,0.42400000000000004
joshrutkowski,applescript-mcp,159,0,"This AppleScript MCP framework, developed by Josh Rutkowski, enables seamless integration of AppleScript capabilities with the Model Context Protocol. It leverages TypeScript and the MCP SDK to provide a robust interface for interacting with macOS applications and system functions through natural language. The implementation is designed for developers looking to incorporate AI-driven automation and control of macOS environments, making it particularly useful for creating intelligent assistants, workflow automation tools, or AI-enhanced macOS applications. Its focus on AppleScript integration sets it apart by offering unique access to macOS-specific functionality within the MCP ecosystem.",MINIMAL,0.2,2.3,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14944,50,20,5.0,,No,No,,,,0.478
negokaz,excel-mcp-server,156,0,"This Excel MCP server, developed by Kazuki Negoro, provides a bridge between Model Context Protocol and Microsoft Excel files. It enables reading and writing of spreadsheet data, specifically focusing on text values in xlsx format files. The implementation is designed for Node.js environments and leverages libraries like exceljs for Excel file manipulation. It's particularly useful for scenarios where AI assistants or other MCP-compatible clients need to interact with structured data stored in Excel spreadsheets, such as data analysis, report generation, or automated spreadsheet updates based on AI-driven insights.",MINIMAL,0.2,1.7,5.4,-1.62,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,4182,15,3,5.0,usage; api_reference; error_handling,No,No,,,,0.358
adhikasp,mcp-twikit,155,0,"This MCP server, developed by adhikasp, integrates with Twitter's API to enable AI assistants to interact with the social media platform. It provides tools for searching tweets, retrieving timelines, and analyzing sentiment across multiple accounts. The server stands out by offering a simplified interface for complex Twitter operations, making it easier for AI systems to process and respond to social media data. By connecting AI capabilities with Twitter's vast user-generated content, this implementation empowers AI assistants to handle tasks like social media monitoring, trend analysis, and customer sentiment tracking. It is particularly useful for applications in brand management, market research, or any scenario where an AI system needs to work with real-time social media data.",MINIMAL,0.2,2.1,6.4,-1.92,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4978,7,4,3.5,configuration; error_handling,No,No,,,,0.42000000000000004
automata-labs-team,code-sandbox-mcp,155,0,"This MCP implementation, developed by Automata Labs, provides a sandboxed code execution environment for AI agents. Built with Go and leveraging Docker, it offers secure code running capabilities across multiple languages. The implementation focuses on safety and isolation, with features like resource limits and network restrictions. It integrates seamlessly with Claude Desktop and other AI applications through a standardized interface. Particularly useful for developers and researchers working on AI-assisted coding tasks, it enables use cases such as code generation, debugging, and automated testing without exposing the underlying system to potential security risks.",MINIMAL,0.2,2.2,7.7,-2.31,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5879,26,6,5.0,,No,No,,,,0.467
freepeak,db-mcp-server,154,0,"DB-MCP-Server provides a database connectivity layer for AI assistants through the Model Context Protocol, enabling direct interaction with MySQL and PostgreSQL databases. Built in Go, it supports both local stdio and production SSE transport modes, with configurable database connections through environment variables. The server can be deployed using Docker for easy integration into existing workflows, making it ideal for AI applications that need to query, analyze, or manipulate structured data stored in relational databases without requiring separate database access tools.",MINIMAL,0.2,2.3,7.6,-2.28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,23473,54,18,3.5,,No,No,,,,0.472
open-strategy-partners,osp_marketing_tools,154,0,"## Editing Codes 
A standardized system of codes for editing text.

## Writing Guide
OSP's guidelines and protocols for effective writing.

## Meta Information Guide 
A system to generate web-friendly titles and URLs.

## Value Map Positioning Guide
A framework for creating compelling product communications and positioning.",MINIMAL,0.2,2.3,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8746,21,5,5.0,,No,No,,,,0.478
inditextech,mcp-server-simulator-ios-idb,153,0,"A Model Context Protocol server for iOS simulator automation via Facebook's IDB tool, enabling AI assistants to control iOS simulators using natural language commands. Developed by Inditex Tech, this TypeScript implementation provides a comprehensive command system for managing simulator sessions, launching apps, capturing screenshots, and performing UI interactions. The architecture includes a natural language parser that converts instructions into structured commands, an orchestrator that manages command execution, and an IDB manager that interfaces with the iOS simulator. This server is particularly useful for automated testing of iOS applications, UI validation, and creating interactive demos without requiring direct access to physical devices.",MINIMAL,0.2,2.3,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12022,33,9,5.0,,No,No,,,,0.478
manusa,kubernetes-mcp-server,153,0,"Powerful and flexible Kubernetes MCP server implementation.
Provides features to perform both, low-level and high-level operations on Kubernetes and OpenShift.
Lower level features include performing CRUD operations on any Kubernetes or OpenShift resource.
Higher level features include abstractions to run and deploy container images and exposing them. This is helpful for smaller models which don't have enough context to generate complete and valid Kubernetes resources.",MINIMAL,0.2,2.4,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13282,39,7,5.0,,No,No,,,,0.486
samuelgursky,davinci-resolve-mcp,151,0,"A Python-based MCP server for DaVinci Resolve that provides programmatic access to video editing, color grading, and media management functions. Created by Samuel Gursky, this implementation enables developers and editors to automate complex workflows in DaVinci Resolve through a flexible scripting interface, supporting operations like timeline manipulation, clip analysis, color correction, and media pool management.",MINIMAL,0.2,2.2,7.6,-2.28,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15640,51,23,3.5,,No,No,,,,0.464
stevenyu113228,bloodhound-mcp,149,0,"BloodHound MCP enables Large Language Models to interact with Active Directory and Azure Active Directory environments through natural language queries. By connecting to a Neo4j database containing BloodHound data, this implementation allows users to perform complex security analysis without writing Cypher queries manually. The server leverages the MCP protocol to translate conversational commands into database operations, making it particularly valuable for security professionals who need to quickly identify attack paths, permission issues, or vulnerabilities in their directory services through intuitive language-based interactions.",MINIMAL,0.2,2.2,6.0,-1.8,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2328,7,1,3.5,installation; error_handling,No,No,,,,0.41600000000000004
elsejj,mcp-cn-a-stock,148,0,"A specialized MCP server for Chinese stock market data analysis, providing tools to retrieve detailed stock information across different levels of depth (brief, medium, full). Built to integrate with a custom data feed system, it enables AI assistants to fetch comprehensive stock data including basic metrics, trading information, financial details, and technical analysis through a standardized interface.",MINIMAL,0.2,2.3,2.3,-0.69,No,No,No,No,No,No,No,No,Yes,No,829,9,0,3.5,installation; usage; configuration; api_reference; error_handling; license; project_info,No,No,,,,0.313
vast-ai-research,tripo-mcp,148,0,"Tripo MCP provides a bridge between AI assistants and the Tripo 3D generation API, enabling the creation and manipulation of 3D models directly within conversation interfaces. Developed by VAST-AI-Research, this server implementation allows users to generate 3D assets from text descriptions, import models into Blender, and perform various operations on 3D objects through the Blender addon integration. The server exposes tools for creating models from text prompts, checking task status, importing GLB files, and manipulating scene objects - making it particularly valuable for 3D content creation workflows where users need to quickly prototype and visualize concepts without switching between applications.",LOW,0.4,2.3,4.7,-1.41,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,1600,7,1,3.5,error_handling; license,No,Yes,,,,0.445
matthewdailey,figma-mcp,147,0,"This MCP server, developed by Matthew Dailey, enables AI assistants to interact with Figma design files through the Figma REST API. Built in TypeScript, it allows adding Figma files to conversations, viewing nodes, reading and posting comments. The implementation integrates seamlessly with Claude Desktop and stands out by providing a direct bridge between AI models and Figma's collaborative design platform. By connecting AI capabilities with Figma's extensive design ecosystem, this server enables AI systems to analyze designs, provide feedback, and assist in the design process. It is particularly useful for scenarios like design reviews, generating design suggestions, and building AI assistants that can understand and contribute to visual design workflows.",LOW,0.4,1.7,7.0,-2.1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2739,9,6,5.0,license,No,Yes,,,,0.46599999999999997
recursechat,mcp-server-apple-shortcuts,145,0,"This MCP server, developed by recursechat, enables AI assistants like Claude to control Apple Shortcuts automations on macOS. Built with Node.js, it allows listing available shortcuts and running them by name with optional input parameters. The implementation provides a simple interface for automation control, integrating seamlessly with Claude Desktop. By connecting AI capabilities with Apple's powerful Shortcuts app, this server enables AI systems to trigger complex automations and perform tasks on macOS. It is particularly useful for scenarios like hands-free device control, automated workflow execution, and building AI assistants that can interact with and control macOS applications and system functions.",MINIMAL,0.2,1.8,5.9,-1.77,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2343,8,6,5.0,error_handling; project_info,No,No,,,,0.381
mem0ai,mem0-mcp,144,0,"Mem0-MCP provides a structured approach for managing coding preferences through an MCP server that integrates with mem0.ai. Built with Python using the FastMCP framework, it offers three main tools: adding coding preferences with comprehensive context, retrieving all stored preferences, and semantically searching through preferences to find relevant code implementations, solutions, and documentation. The server runs as a persistent process that agents can connect to via SSE, making it ideal for cloud-native environments where server and clients operate as decoupled processes. This implementation is particularly valuable for developers using Cursor who need efficient storage and retrieval of code snippets and programming knowledge.",LOW,0.4,2.2,6.8,-2.04,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2587,8,7,3.5,license,No,Yes,,,,0.5
egoist,fetch-mcp,141,0,"Fetch-MCP provides a server for retrieving web content and YouTube video transcripts through two specialized tools. The implementation fetches URLs and converts HTML to Markdown by default, with options to return raw HTML or limit content length. It also extracts YouTube video transcripts with timestamps, making it useful for AI assistants that need to reference web content or video information. Built with TypeScript using the Model Context Protocol SDK, it supports both stdio and SSE server modes for flexible integration options.",MINIMAL,0.2,2.2,4.3,-1.29,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,544,10,1,5.0,installation; configuration; error_handling; project_info,No,No,,,,0.36500000000000005
mamertofabian,mcp-everything-search,141,0,"This MCP server, developed by Mamerto Fabian, enables AI assistants to perform fast file searches using the Everything SDK on Windows systems. It provides a tool for executing complex file queries with support for wildcards, boolean operators, and various search criteria like file size, dates, and attributes. The server abstracts the Everything SDK's functionality, offering a simplified interface for AI systems to locate files and retrieve metadata. By connecting AI capabilities with Everything's ultra-fast file indexing, this implementation empowers AI assistants to quickly find and analyze files across entire drives. It is particularly useful for applications requiring rapid file discovery, system analysis, or any scenario where an AI system needs to efficiently locate and reason about files on a Windows machine.",MINIMAL,0.2,1.8,7.4,-2.22,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6731,20,16,5.0,,No,No,,,,0.42600000000000005
nickclyde,duckduckgo-mcp-server,139,0,"This MCP server implementation provides web search capabilities through DuckDuckGo, with additional features for content fetching and parsing. Developed by Nick Clyde, it offers tools for performing web searches and retrieving webpage content, with built-in rate limiting and error handling. The server is designed to format results specifically for large language model consumption, making it particularly useful for AI applications that require up-to-date web information. It includes features like intelligent text extraction, comprehensive error logging, and LLM-friendly output formatting. The implementation is built using Python and integrates with the Model Context Protocol, focusing on ease of use within the Claude Desktop environment.",MINIMAL,0.2,2.1,7.2,-2.16,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3568,19,6,5.0,,No,No,,,,0.44400000000000006
jsonallen,perplexity-mcp,137,0,"This Perplexity MCP server, developed by Jason Allen, provides AI assistants with web search capabilities using the Perplexity AI API. Built with Python using libraries like aiohttp and pydantic, it offers a streamlined interface for performing web searches and retrieving results. The server implements environment-based configuration for API key management and uses the Model Context Protocol to standardize interactions. By abstracting the complexities of API communication, it enables AI systems to easily incorporate up-to-date web information into their workflows. This implementation is particularly valuable for applications requiring real-time access to web data, facilitating use cases such as fact-checking, research assistance, and information retrieval across various domains.",LOW,0.4,2.2,6.7,-2.01,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3995,16,4,5.0,error_handling,No,Yes,,,,0.49700000000000005
formulahendry,mcp-server-code-runner,134,0,"Code Runner MCP Server enables AI assistants to execute code snippets in multiple programming languages directly within conversations. Built by Jun Han, it supports over 30 languages including JavaScript, Python, Ruby, Go, and more by creating temporary files and executing them with the appropriate interpreter. The server is designed for easy integration with VS Code and Claude Desktop through simple configuration, making it ideal for demonstrating code examples, testing algorithms, or exploring system information without leaving the conversation interface.",MINIMAL,0.2,2.4,6.0,-1.8,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5389,11,5,5.0,error_handling; project_info,No,No,,,,0.432
furey,mongodb-lens,134,0,"MongoDB Lens is an MCP server that provides AI assistants with direct access to MongoDB databases for exploration and analysis. Built with Node.js and the Model Context Protocol SDK, it enables browsing databases and collections, executing queries with filters and projections, running aggregation pipelines, analyzing schemas, managing indexes, and optimizing query performance. The implementation includes specialized tools for inferring collection schemas, explaining query execution plans, and generating recommendations for database optimization, making it valuable for database exploration, performance tuning, and schema design assistance within AI workflows.",MINIMAL,0.2,2.3,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,67134,99,65,5.0,,No,No,,,,0.478
g0t4,mcp-server-commands,133,0,"This MCP server, developed by g0t4, enables AI assistants to execute system commands and run scripts on the host machine. It provides tools for running individual shell commands and executing multi-line scripts in various languages like bash, fish, and Python. Built in JavaScript, the implementation exposes local system functionality via a standardized MCP interface, allowing Claude to interact directly with the host operating system. By bridging AI models with the local command line, this server enhances Claude's ability to perform system administration tasks, automate workflows, and execute code snippets. It is particularly useful for developers and power users seeking AI-powered assistance with command-line operations, scripting, and system automation tasks. The implementation emphasizes security, recommending careful review of commands before execution.",MINIMAL,0.2,2.4,7.0,-2.1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3156,9,6,5.0,project_info,No,No,,,,0.462
mshojaei77,reactmcp,133,0,"ReActMCP Web Search integrates Exa API's web search capabilities into AI assistant frameworks through the Model Context Protocol. It provides both basic and advanced search tools with filtering options for domains, text requirements, and date ranges, returning markdown-formatted results with titles, URLs, publication dates, and content summaries. Built with Python using the FastMCP framework, this implementation is particularly valuable for workflows requiring real-time internet information within AI conversations, allowing users to access current data without leaving their conversation interface.",LOW,0.4,2.1,7.8,-2.34,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7818,20,9,5.0,,No,Yes,,,,0.522
