owner,repo,doc_quality_score,readme_found,readme_size_bytes,sections_found,missing_sections,has_code_examples,has_screenshots,has_security_info,has_license_info,readability_score
idosal,git-mcp,7.8,No,14894,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
justinpbarnett,unity-mcp,7.2,No,8200,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,3.5
firebase,mcp,7.5,No,5362,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,No,Yes,5.0
mrexodia,ida-pro-mcp,7.8,No,10682,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
ahujasid,ableton-mcp,7.3,No,6383,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,5.0
zcaceres,markdownify-mcp,5.6,No,2427,installation; usage; configuration; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,api_reference; error_handling,Yes,Yes,No,Yes,3.5
dhravya,apple-mcp,6.2,No,3409,installation; usage; configuration; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,api_reference; error_handling,Yes,Yes,No,Yes,5.0
sendaifun,solana-agent-kit,7.8,No,25079,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
cyberagiinc,devdocs,7.8,No,18051,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
clerk,agent-toolkit,7.6,No,12762,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
supabase-community,supabase-mcp,7.8,No,8396,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
supabase-community,mcp-server-postgrest,6.6,No,4775,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; tools_reference; testing; advanced_usage,error_handling; license,Yes,Yes,Yes,No,5.0
sooperset,mcp-atlassian,7.8,No,12451,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
anaisbetts,mcp-installer,4.0,No,1183,installation; usage; configuration; security; cli; screenshots; code_examples; contribution,api_reference; error_handling; license; project_info,Yes,Yes,Yes,No,5.0
blazickjp,arxiv-mcp-server,6.4,No,5271,installation; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,usage; error_handling,Yes,Yes,No,Yes,5.0
chatmcp,mcp-server-chatsum,5.9,No,1824,installation; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements,usage; license,Yes,Yes,Yes,No,3.5
damms005,devdb-vscode,7.6,No,13150,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
smithery-ai,mcp-obsidian,6.1,No,2500,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,No,Yes,5.0
markuspfundstein,mcp-obsidian,7.1,No,3851,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,license,Yes,Yes,Yes,No,5.0
dmayboroda,mcp-server,2.0,No,495,configuration; code_examples; contribution,installation; usage; api_reference; error_handling; license; project_info,Yes,No,No,No,3.5
alexander-zuev,supabase-mcp-server,7.8,No,29026,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
suekou,mcp-notion-server,7.2,No,12512,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,,Yes,Yes,Yes,Yes,3.5
jae-jae,fetcher-mcp,7.5,No,6769,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,3.5
operative-sh,web-eval-agent,5.9,No,3693,installation; usage; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; testing,configuration; license,Yes,Yes,Yes,No,3.5
syedazharmbnr1,claude-chatgpt-mcp,7.0,No,2030,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,5.0
elevenlabs,elevenlabs-mcp,7.4,No,5220,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
basicmachines-co,basic-memory,7.8,No,13743,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
janwilmake,openapi-mcp-server,7.8,No,10055,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
flux159,mcp-server-kubernetes,7.6,No,7469,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
cloudflare,workers-mcp,6.8,No,4532,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; testing; advanced_usage,license,Yes,Yes,No,No,5.0
saik0s,mcp-browser-use,7.6,No,27276,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
snagasuri,deebo-prototype,7.4,No,4547,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
tuananh,hyper-mcp,7.3,No,7153,installation; usage; configuration; api_reference; security; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
jjsantos01,qgis_mcp,7.2,No,5820,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,No,Yes,5.0
codergamester,mcp-unity,6.0,No,11659,installation; configuration; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,usage; api_reference,Yes,Yes,No,Yes,3.5
rusiaaman,mcp_server,1.2,No,109,screenshots,installation; usage; configuration; api_reference; error_handling; license; project_info,No,Yes,No,No,3.5
loopwork-ai,imcp,6.8,No,11519,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
designcomputer,mysql_mcp_server,7.6,No,4859,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
arodoid,unitymcp,7.0,No,5294,installation; usage; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,configuration,Yes,Yes,Yes,Yes,3.5
mobile-next,mobile-mcp,7.0,No,8210,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,license,Yes,Yes,No,No,5.0
mxiris-reverse-engineering,ida-mcp-server,7.0,No,3208,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing; advanced_usage,license,Yes,Yes,No,No,5.0
co-browser,browser-use-mcp-server,7.1,No,6147,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing; advanced_usage,error_handling; license,Yes,Yes,Yes,No,5.0
rohitg00,kubectl-mcp-server,7.8,No,12187,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
nottelabs,notte-mcp,6.0,No,2378,installation; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,usage; error_handling; license,Yes,Yes,Yes,No,5.0
bytebase,dbhub,7.3,No,13449,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,license,Yes,Yes,Yes,No,5.0
ckreiling,mcp-server-docker,6.7,No,5068,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,error_handling,Yes,Yes,Yes,Yes,5.0
automation-ai-labs,mcp-link,6.3,No,4206,installation; usage; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,configuration; license,Yes,Yes,Yes,No,3.5
langchain-ai,mcpdoc,7.1,No,13097,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,Yes,Yes,3.5
coding-solo,godot-mcp,7.4,No,10327,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,No,Yes,5.0
minimax-ai,minimax-mcp,5.6,No,9977,installation; configuration; api_reference; security; error_handling; screenshots; code_examples; contribution; license; project_info,usage,Yes,Yes,Yes,Yes,3.5
benborla,mcp-server-mysql,6.6,No,5988,usage; configuration; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,installation; api_reference; error_handling,Yes,Yes,Yes,Yes,5.0
markuspfundstein,mcp-gsuite,7.8,No,7749,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
resend,mcp-send-email,7.0,No,4354,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
minhalvp,android-mcp-server,6.6,No,3782,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing; advanced_usage,error_handling; license,Yes,Yes,No,No,5.0
jlcases,paelladoc,7.2,No,14209,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,No,Yes,3.5
zcaceres,fetch-mcp,6.6,No,2454,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,No,Yes,3.5
reading-plus-ai,mcp-server-data-exploration,7.0,No,4806,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,No,Yes,5.0
anaisbetts,mcp-youtube,2.3,No,522,installation; screenshots; contribution; project_info,usage; configuration; api_reference; error_handling; license,No,Yes,No,No,3.5
jasonjmcghee,claude-debugs-for-you,6.4,No,6418,installation; usage; configuration; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,api_reference; license,Yes,Yes,No,No,5.0
centralmind,gateway,7.4,No,11722,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,3.5
kleneway,awesome-cursor-mpc-server,7.0,No,3422,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
ferrislucas,iterm-mcp,7.2,No,2942,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,5.0
joshuayoes,ios-simulator-mcp,6.9,No,6231,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,No,Yes,5.0
jerhadf,linear-mcp-server,7.2,No,5077,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
stevenstavrakis,obsidian-mcp,7.1,No,4120,installation; usage; configuration; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,api_reference,Yes,Yes,Yes,Yes,5.0
gojue,moling,6.6,No,4626,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,No,Yes,3.5
freestylefly,mcp-server-weread,4.3,No,11672,installation; api_reference; security; screenshots; code_examples; contribution; tools_reference,usage; configuration; error_handling; license; project_info,Yes,Yes,Yes,No,3.5
varunneal,spotify-mcp,7.3,No,3929,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
microsoft,mcp-server-bing-search,4.6,No,2047,installation; configuration; api_reference; cli; code_examples; contribution; tools_reference; requirements,usage; error_handling; license; project_info,Yes,No,No,No,5.0
microsoft,mcp-server-giphy,6.2,No,1715,installation; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,usage; error_handling,Yes,Yes,Yes,Yes,5.0
microsoft,mcp-server-open-deep-research,5.9,No,1608,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; requirements; testing,error_handling; project_info,Yes,Yes,Yes,Yes,3.5
microsoft,mcp-server-vscode,6.6,No,10417,installation; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,usage; license,Yes,Yes,No,No,5.0
microsoft,mcp-server-word,0,No,0,,,No,No,No,No,0
strowk,mcp-k8s-go,7.3,No,7377,installation; usage; configuration; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,api_reference,Yes,Yes,No,Yes,5.0
quantgeekdev,docker-mcp,7.6,No,4293,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
regenrek,deepwiki-mcp,7.4,No,6882,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,No,Yes,5.0
tevonsb,homeassistant-mcp,7.8,No,17208,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
datalayer,jupyter-mcp-server,6.9,No,4643,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,Yes,Yes,3.5
nwiizo,tfmcp,7.8,No,8956,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
alioshr,memory-bank-mcp,7.6,No,6623,installation; usage; configuration; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,api_reference,Yes,Yes,Yes,Yes,5.0
rafalwilinski,aws-mcp,6.4,No,2807,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements,license,Yes,Yes,Yes,No,3.5
mzxrai,mcp-webresearch,7.2,No,3614,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
gongrzhe,gmail-mcp-server,7.8,No,13072,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
doobidoo,mcp-memory-service,7.8,No,11336,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,No,Yes,5.0
evalstate,mcp-hfspace,7.6,No,10051,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
mark3labs,mcp-filesystem-server,6.1,No,3148,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,2.0
loopwork-ai,emcee,7.8,No,10288,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
hyperdrive-eng,mcp-nodejs-debugger,6.5,No,9181,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference,license,Yes,Yes,Yes,No,3.5
dmontgomery40,deepseek-mcp-server,7.6,No,5369,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
mcpdotdirect,evm-mcp-server,7.8,No,16641,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
leonardsellem,n8n-mcp-server,7.5,No,5631,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
base,base-mcp,7.8,No,12457,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
yanxingliu,dify-mcp-server,6.3,No,4168,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; tools_reference; requirements,error_handling; project_info,Yes,Yes,Yes,Yes,5.0
r-huijts,xcode-mcp-server,7.8,No,15368,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
cyberchitta,llm-context.py,7.5,No,7470,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
nspady,google-calendar-mcp,7.6,No,8261,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
shopify,dev-mcp,6.2,No,1980,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,error_handling,Yes,Yes,No,Yes,5.0
adhikasp,mcp-git-ingest,6.8,No,3970,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,No,Yes,5.0
enescinr,twitter-mcp,7.2,No,2422,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
nighttrek,software-planning-mcp,7.1,No,4616,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,Yes,Yes,5.0
mordavid,bloodhound-mcp-ai,7.0,No,4216,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
coleam00,mcp-mem0,6.8,No,6473,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,error_handling; license,Yes,Yes,Yes,No,5.0
armorwallet,armor-crypto-mcp,7.0,No,4296,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,Yes,Yes,5.0
rafalwilinski,mcp-apple-notes,6.7,No,2329,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,license,Yes,Yes,Yes,No,3.5
gyoridavid,short-video-maker,7.8,No,16893,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
kiliczsh,mcp-mongo-server,7.6,No,8900,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
vivekvells,mcp-pandoc,7.8,No,8171,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,5.0
jacck,mcp-reasoner,5.1,No,2845,installation; configuration; api_reference; screenshots; code_examples; contribution; license; project_info; testing,usage; error_handling,Yes,Yes,No,Yes,5.0
runekaagaard,mcp-alchemy,7.8,No,7918,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
disler,just-prompt,7.6,No,11854,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
anton10xr,gibber-mcp,7.0,No,7706,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,5.0
rectalogic,langchain-mcp,5.0,No,1180,usage; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,installation; configuration; error_handling,Yes,Yes,Yes,Yes,3.5
abhiz123,todoist-mcp-server,7.0,No,4106,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,,Yes,Yes,Yes,Yes,3.5
chemiguel23,memorymesh,7.6,No,16293,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,No,Yes,3.5
